"teberri","uzak durma"
"fâni","geçici olan, ölümlü"
"mahbubat","sevilenler"
"kat-ı alâka","ilgiyi kesmek"
"mahbup","sevgili"
"cihet","taraf, yön"
"Mahbub-u Bâkî","sonsuz sevgili olan Allah"
"hasr-ı muhabbet","sevgiyi bir şeye odaklama"
"Bâkî-i Hakikî","gerçek mânâda varlığı sonsuza kadar devam eden Allah"
"Mâsivâ","Allah'tan başka varlıklar"
"fâni","geçici olan, ölümlü"
"Fâni","geçici olan, ölümlü"
"bâki","devamlı, kalıcı"
"muhabbet","sevgi"
"ezelî","başlangıcı olmayan, sonsuz"
"ebedî","sonu olmayan, sonsuz"
"ebed","sonsuzluk"
"alâka","ilgi"
"medar","sebep, kaynak"
"mânâ","anlam"
"hadsiz","sınırsız, sonsuz"
"mahbubat","sevilenler"
"fâni","geçici olan, ölümlü"
"bâki","devamlı, kalıcı"
"ibka","devamlılık özelliği verme"
"mevcudat","varlıklar"
"beka","devamlılık, kalıcılık"
"itikad","kesin inanma"
"muhabbet","sevgi"
"alâka-i kalb","kalben bağlılık"
"hâlet","durum, hâl"
"hadsiz","sınırsız, sonsuz"
"mahbubat","sevilenler"
"Hüsün","güzellik"
"cemal","güzellik"
"fâni","geçici olan, ölümlü"
"alâka-i kalb","kalben bağlılık"
"mahbup","sevgili"
"mânevî","mânâya ait, maddî olmayan"
"ceriha","yara, hastalıklı uzuvlar"
"hadsiz","sınırsız, sonsuz"
"ceriha","yara, hastalıklı uzuvlar"
"tiryak","derman, ilâç"
"bâki","devamlı, kalıcı"
"bedel","karşılık"
"mevcudat","varlıklar"
"sebeb-i muhabbet","sevginin sebebi"
"hüsün","güzellik"
"ihsan","bağış, iyilik, lûtuf"
"kemal","mükemellik, olgunluk"
"umumiyetle","genellikle"
"Bâkî-i Hakikî","gerçek mânâda varlığı sonsuza kadar devam eden Allah"
"hüsün","güzellik"
"ihsan","bağış, ikram"
"kemâlât","kusursuz özellikler, mükemmellikler"
"işârât","işaretler, belirtiler"
"cilve-i Esmâ-i Hüsnâ","Allah'ın güzel isimlerinin varlıklardaki yansıması, görüntüsü"
"NÜKTE","ince ve derin anlamlı söz"
"fıtrat","yaratılış, mizaç"
"beka","devamlılık, kalıcılık"
"şedit","şiddetli"
"kuvve-i vâhime","olmayan birşeyi var gibi gösterme duygusu"
"cihet","taraf, yön"
"nev","çeşit, tür"
"beka","devamlılık, kalıcılık"
"tevehhüm","sanmak, zannetmek"
"zevâl","geçicilik, yokluk"
"feryat","bağırıp çağırma"
"firak","ayrılık"
"feryat","bağırıp çağırma"
"aşk-ı beka","ebedî hayata olan aşk ve sevgi"
"tevehhüm-ü beka","sonsuza kadar yaşayacağını sanmak"
"muhabbet","sevmek"
"âlem-i beka","devamlı ve kalıcı olan âhiret âlemi"
"ebedî","sonsuz"
"sebeb-i vücud","varlık sebebi"
"mahiyet-i insaniye","insanın öz yapısı"
"aşk-ı beka","ebedî hayata olan aşk ve sevgi"
"arzu-yu beka","devamlı ve kalıcı olma arzusu, sonsuz yaşama isteği"
"beka","devamlılık, kalıcılık"
"fıtrî","doğal, yaratılıştan gelen"
"umumî","genel"
"Bâkî-i Zülcelâl","Kendi varlığı sonsuza kadar devam eden, sonsuz haşmet sahibi olan Allah"
"şedit","şiddetli"
"fıtrî","doğal, yaratılıştan gelen"
"umumî","genel"
"fâni","geçici olan"
"bâki","varlığı devamlı olan Allah"
"âlem","dünya, evren"
"halk","yaratmak"
"Fâtır-ı Kerîm","sonsuz kerem ve lütuf sahibi olan ve varlıkları benzersiz olarak yoktan yaratan Allah"
"Hâlık-ı Rahîm","herşeyi yaratan ve herbir varlığa özel rahmet tecellisi olan Allah"
"cüz'î","az, küçük, ferdî"
"muvakkat","geçici"
"beka","devamlılık, kalıcılık"
"lisan-ı hal","hal ve beden dili"
"hadsiz","sınırsız, sayısız"
"envâ-ı mat'umat-ı leziziye","lezzetli, çeşit çeşit yiyecekler"
"icad","var etme, yaratma"
"umum","bütün"
"nev-i beşer","insanlar"
"ihtiyac-ı fıtrî","yaratılıştan gelen doğal ihtiyaç"
"küllî","geniş ve kapsamlı"
"daimî","devamlı, sürekli"
"hakikat","asıl, esas, gerçek mahiyet"
"kal","söz"
"beka","devamlılık, kalıcılık"
"Hâşâ","asla öyle değil"
"hâşâ","asla öyle değil"
"hikmet","herşeyin bir fayda ve gayeye yönelik olarak, tam yerli yerinde olma, yaratılma"
"adalet","hak sahibine hakkını verme, haksızı cezalandırma"
"rahmet","şefkat, merhamet, bağış"
"kudret","güç, iktidar"
"cihet","taraf, yön"
"beka","devamlılık, kalıcılık"
"kemâlât","kusursuz özellikler, mükemmellikler"
"beka","devamlılık, kalıcılık"
"beka","devamlılık, kalıcılık"
"Bâkî-i Zülcelâl","Kendi varlığı sonsuza kadar devam eden, sonsuz haşmet sahibi olan Allah"
"mahsus","özgü, has"
"Bâkî","varlığı devamlı olan Allah"
"esmâ","isimler"
"bâki","varlığı devamlı olan Allah"
"Bâkî","varlığı devamlı olan Allah"
"Bâkî","varlığı devamlı olan Allah"
"nev","çeşit, tür"
"beka","devamlılık, kalıcılık"
"mazhar","nail olma, erişme"
"Bâkî","varlığı devamlı olan Allah"
"peydâ","oluşturma, kazanma"
"esmâ","isimler"
"Bâkî","varlığı devamlı olan Allah"
"sarf olunan","harcanan"
"nev","çeşit, tür"
"beka","devamlılık, kalıcılık"
"mazhar","nail olma, erişme"
"hakikat","asıl, esas, gerçek mahiyet"
"hadsiz","sınırsız, sayısız"
"fıtrat","yaratılış, mizaç"
"arzu-yu beka","devamlı ve kalıcı olma arzusu, sonsuz yaşama isteği"
"fenâ","geçici olma"
"zevâl-i eşya","varlıkların kaybolup gitmesi"
"tesirat","tesirler, etkiler"
"mevcudat","varlıklar"
"mütedahil","iç içe"
"zeval","sona erme, yokluk"
"zâhiren","dış görünüş itibariyle"
"sür'at","hız"
"muhalif","aykırılık gösteren"
"cisim","beden"
"nefis","maddî lezzetlere düşkün olan duygu"
"mütefavit","çeşitli, farklı"
"beka","sonsuzluk"
"mazi","geçmiş zaman"
"müstakbel","gelecek zaman"
"mâdum","yok, hiç olmuş"
"meyyit","ölü, cenaze"
"hazır gün","şimdiki gün, yaşanan gün"
"daire-i vücud","varlık dairesi"
"hazır gün","şimdiki gün, yaşanan gün"
"daire-i azîme","büyük daire, alan"
"daire-i hayat","hayat alanı"
"istidad","yetenek"
"hayat-ı kalbî ve ruhî","kalbin ve ruhun hayatı"
"medar","dayanak noktası, kaynak"
"marifet-i İlâhiye","Allah'ı bilme ve tanıma"
"muhabbet-i Rabbâniye","Allah sevgisi"
"ubudiyet-i Sübhâniye","bütün kusur ve noksanlıklardan uzak olan Allah'a edilen kulluk"
"marziyât-ı Rahmâniye","Allah'ın rızasına uygun olan şeyler"
"cihet","taraf, yön"
"fâni","geçici, ölümlü"
"bâki","devamlı olan, kalıcı"
"tazammun","içine alma, kapsama"
"ebedî","sonu olmayan, sonsuz"
"bâki","devamlı olan, kalıcı"
"intaç","sonuç verme"
"bâki","devamlı olan, kalıcı"
"lâyemut","ölümsüz"
"Bâkî-i Hakikî","gerçek mânâda sonsuza kadar varlığı devam eden Allah"
"muhabbet","sevgi"
"marifet","Allah'ı tanıma ve bilme"
"rıza","memnuniyet, hoşnutluk"
"lâyemut","ölümsüz"
"cihet","taraf, yön"
"ehl-i gaflet","âhirete, Allah'ın emir ve yasaklarına karşı duyarsız olanlar"
"Firâk","ayrılık"
"visâl","ulaşma, kavuşma"
"fıkra","kısa yazı"
"Visal","ulaşma, kavuşma"
"Bâkî-i Zülcelâl","varlığı sonsuza kadar devam eden ve sonsuz heybet ve haşmet sahibi olan Allah"
"rıza","memnuniyet, hoşnutluk"
"livechillâh","Allah için"
"visal","ulaşma, kavuşma"
"daimî","sürekli"
"pencere-i visal","kavuşmayı sağlayan pencere"
"Gaflet","sorumsuzluk, âhiretten ve Allah'ın bildirdiği şeylerden habersiz davranma"
"dalâlet","hak yoldan ayrılma, sapkınlık"
"firâk","ayrılık"
"teyid","desteklemek"
"sahih","doğru, sağlıklı"
"Fâni","geçici olan"
"mevcudat","varlıklar"
"visâl","ulaşma, kavuşma"
"fâni","geçici olan"
"hasretli","hasret dolu"
"esefli","üzüntü ve acı verici"
"Beka","devamlılık, kalıcılık"
"kalb-i insanî","insan kalbi"
"visal","ulaşma, kavuşma"
"zerre","atom"
"Firak","ayrılık"
"firâk","ayrılık"
"Beka","devamlılık, kalıcılık"
"firak","ayrılık"
"çendan","gerçi"
"tahribat","yıkıp bozma işlemleri"
"hadsiz","sınırsız"
"firak","ayrılık"
"süflî","basit, seviyesiz, aşağı"
"muhabbet","sevgi"
"mazi","geçmiş zaman"
"müstakbel","gelecek zaman"
"firak","ayrılık"
"münasebet","ilişki, bağlantı"
"Fâni","geçici olan"
"bâki","devamlı ve kalıcı olan"
"meyvedar","meyveli"
"insaniyet","insanlık"
"iktiza","gerektirme"
"Bâkî-i Hakikî","gerçek anlamda varlığı sonsuza kadar devam eden Allah"
"sarf","kullanma, harcama"
"Bâkî","devamlı ve kalıcı olan"
"müteveccih","yönelme"
"beka","devamlılık, kalıcılık"
"cilve","yansıma"
"mazhar","erişme, ulaşma"
"suret","biçim, görünüş"
"beka","devamlılık, kalıcılık"
"fâni","geçici olan"
"bâki","devamlı ve kalıcı olan"
"tebdil","değiştirmek"
"insaniyet","insanlık"
"sukut","düşmek, alçalmak, işlevini yitirmek"
"bilfiil","fiilen, uygulamalı olarak"
"tevfik-i hareket","uygun hareket"
"Lillâh","Allah için"
"livechillâh","Allah için"
"lieclillâh","Allah rızası için"
"rıza","memnuniyet, hoşnutluk"
"Leyle-i Kadir","Kadir Gecesi"
"nass-ı Kur'ân","Kur'ân'ın açık ve kesin hükmü"
"ehl-i velâyet","veliler, Allah dostları"
"beyninde","arasında"
"düstur-u muhakkak","kesinlik kazanmış kural"
"bast-ı zaman","zamanın uzaması, bereketlenmesi; az bir zamanda çok uzun bir zaman yaşamış gibi olmak"
"zaman-ı Miraç","Miracın gerçekleştiği zaman"
"vücud","varlık"
"bilfiil","fiilen, uygulamalı olarak"
"vüs'at","genişlik"
"ihata","içine alma, kapsama"
"Miraç","Peygamberimizin (a.s.m.) Allah'ın huzuruna yükseltildiği ve bütün kâinat âlemlerini gezdiği yolculuk"
"beka","devamlılık, kalıcılık"
"âlem","dünya, kâinat"
"Beka","devamlılık, kalıcılık"
"âlem","dünya, kâinat"
"tazammun","içine alma, kapsama"
"bina","üzerine kurma"
"beyne'l-evliya","Allah'ın sevgili kulları arasında"
"kesret","çokluk"
"vuku","meydana gelmek"
"bast-ı zaman","zamanın uzaması, bereketlenmesi; az bir zamanda çok uzun bir zaman yaşamış gibi olmak"
"hatme-i Kur'âniye","Kur'ân-ı Kerimi baştan sona okuyup bitirme"
"rivayet","nakletme"
"ihbar","haber vermek"
"ehl-i hak","hak ve doğru yolda olan kimseler"
"sıdk","doğruluk"
"kizb","yalan söyleme, uydurma"
"tenezzül","aşağı seviyeye düşmek, alçalmak"
"hadsiz","sayısız"
"kesret","çokluk"
"tevatür","yalanda birleşmeleri imkânsız olan topluluğun verdiği haber"
"bast-ı zaman","zamanın uzaması, bereketlenmesi; az bir zamanda çok uzun bir zaman yaşamış gibi olmak"
"müşahede","gözlemlemek"
"medar-ı şüphe","şüphe kaynağı"
"bast-ı zaman","zamanın uzaması, bereketlenmesi; az bir zamanda çok uzun bir zaman yaşamış gibi olmak"
"musaddak","onaylanmış"
"nev","çeşit"
"ahvâl","hâller, durumlar"
"yakaza","uyanıklık hali"
"âlem","dünya, kâinat"
"Elhasıl","özet olarak"
"çendan","gerçi"
"fâni","geçici, ölümlü"
"beka","devamlılık, kalıcılık"
"halk","yaratılmak"
"bâki","devamlı, kalıcı"
"Zât","Allah"
"bâki","devamlı, kalıcı"
"tavzif","görevlendirmek"
"bâki","devamlı, kalıcı"
"Zât","Allah"
"bâki","devamlı, kalıcı"
"esmâ","isimler"
"cilve","görünme, yansıma"
"medar","yansıma noktası, ayna"
"cihazat","organlar, donanım"
"istidadat","kabiliyetler, meziyetler"
"Bâkî-i Sermedî","varlığı sonsuz ve sürekli olan Allah"
"daire-i marziyât","Allah'ın rızası dairesindeki şeyler"
"esmâ","isimler"
"ebed","sonsuzluk"
"Bâkî","varlığı devamlı ve kalıcı olan Allah"
"müteveccih","yönelmek"
"Lisan","dil"
"letâif","insan ruhundaki ince duygular ve ruhun dış dünyaya bakan pencereleri"
"Lem'a","parıltı"
"Minhâcü's-Sünne","sünnet yolu"
"risale","Risale-i Nur'u oluşturan bölümlerden herbiri"
"Mesele-i İmamet","ümmete imamlık meselesi, halifelik meselesi"
"mesele-i fer'iye","asılla, esasla ilgili olmayıp ayrıntılarla ilgili mesele"
"ziyade","çok"
"ehemmiyet","önem"
"mesâil-i imaniye","imanla ilgili meseleler"
"ilm-i kelâm","kelâm ilmi; iman hakikatlerini ispat eden ve açıklayan bilim dalı"
"usulüddin","din usulü, kelâm"
"medar-ı nazar","tartışma alanı, konusu"
"hizmet-i esasiye","asıl hizmet"
"münasebet","bağlantı, ilgi"
"cüz'î","ferdî, az, sınırlı"
"âyet-i azîme","büyük ve yüce âyet"
"hakaik-i azîme","büyük gerçekler"
"hakikat","asıl, esas, gerçek ve doğru mahiyet"
"Makam","derece, yer"
"Nükte","ince ve derin anlamlı söz"
"NÜKTE","ince ve derin anlamlı söz"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Aleyhissalâtü Vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"kemâl-i şefkat","tam ve mükemmel şefkat"
"merhamet","acıma, şefkat"
"rivayet-i sahiha","sağlam ve doğru olarak aktarılan haber"
"mahşer","haşir meydanı"
"dehşet","korku, ürkme"
"enbiya","nebiler, peygamberler"
"nefsî, nefsî","nefsim, nefsim"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Aleyhissalâtü Vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"ümmetî, ümmetî","ümmetim, ümmetim"
"refet","esirgeme, koruma, acıma"
"ehl-i keşf","mâneviyat âlemlerinde iman hakikatlerini gözlemleme seviyesine ulaşmış insanlar"
"valide","anne"
"münâcât","Allah'a yalvarış, dua"
"ümmetî, ümmetî","ümmetim, ümmetim"
"tarih-i hayat","hayat boyu yaşanan olaylar; özgeçmiş"
"neşr","yaymak"
"şefkatkârâne","şefkat dolu"
"mekârim-i ahlâk","ahlâkın en güzel ve üstün olanı"
"kemâl-i şefkat","tam ve mükemmel şefkat"
"refet","esirgeme, koruma, acıma"
"hadsiz","sayısız"
"salâvat","Peygamberimize edilen rahmet ve esenlik duası"
"hadsiz","sayısız"
"saadet","mutluluk"
"kemâl-i şefkat","tam ve mükemmel şefkat"
"alâkadar","alâkalı, ilgili"
"hadsiz","sayısız"
"merhamet","acıma, şefkat"
"sünnet-i seniyye","Peygamberimizin söz, fiil ve hareketlerine dayanan yüce prensipler"
"müraat","riayet etmek, uymak"
"kıyas","karşılaştırmak"
"NÜKTE","ince ve derin anlamlı söz"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Aleyhissalâtü Vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"küllî","kapsamlı, genel"
"umumî","özel"
"vazife-i nübüvvet","peygamberlik vazifesi"
"cüz'î","ferdî, küçük, az"
"azîm","büyük, yüce"
"Zâhir","açık, âşikar"
"azîm","büyük, yüce"
"cüz'î","ferdî, küçük, az"
"sarf","kullanma, harcama"
"vazife-i nübüvvet","peygamberlik vazifesi"
"fevkalâde","olağanüstü"
"hakikat","doğru gerçek"
"cüz'î","ferdî, küçük, az"
"küllî","kapsamlı, genel"
"umumî","özel"
"vazife-i nübüvvet","peygamberlik vazifesi"
"medar","dayanak noktası, sebep"
"silsile","zincir"
"mümessil","temsilci"
"silsile-i azîme","büyük zincir"
"mümessil","temsilci"
"fevkalâde","olağanüstü"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Aleyhissalâtü Vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"Hazret-i Hasan","bk. Hasan (r.a.)"
"fevkalâde","olağanüstü"
"ehemmiyet-i azîme","büyük önem verme"
"cibillî","soy ve ırk gibi yaratılıştan gelen topluluğa ve kavme ait"
"hiss-i karâbet","akrabalık hissi"
"vazife-i nübüvvet","peygamberlik vazifesi"
"hayt-ı nuranî","nurlu bağlantı, ip"
"verâset-i Nebevi","Peygamberliğe varis olma"
"menşe","kaynak"
"mümessil","temsilci"
"fihriste","özet, içerik"
"cihet","taraf, yön"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Aleyhissalâtü Vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"Hazret-i Hasan","bk. Hasan (r.a.)"
"kemâl-i şefkat","tam bir şefkat"
"Hazret-i Hasan","bk. Hasan (r.a.)"
"teselsül","zincirleme devam etme"
"nuranî","nurlu, nur saçan"
"nesl-i mübarek","mübârek nesil"
"Gavs-ı Âzam olan Şah-ı Geylânî","bk. Abdülkadir-i Geylânî (k.s.)"
"mehdi-misal","mehdi gibi; bk. Mehdi"
"verese-i nübüvvet","Peygamberlik vârisleri"
"hamele-i şeriat-ı Ahmediye","Peygamberimizin getirmiş olduğu dini nesilden nesile taşıyanlar"
"Hazret-i Hasan","bk. Hasan (r.a.)"
"istikbal","gelecek zaman"
"hizmet-i kudsiye","kutsal hizmet"
"nazar-ı nübüvvet","Peygamberlik bakışı"
"istihsan","güzel görerek beğenme"
"alâmet","belirti, işaret"
"Hazret-i Hasan","bk. Hasan (r.a.)"
"Hazret-i Hüseyin","bk. Hüseyin (r.a.)"
"fevkalâde","olağanüstü"
"Hazret-i Hüseyin","bk. Hüseyin (r.a.)"
"silsile-i nuraniye","nurlu zincir, nurlu nesil"
"Zeynelabidin","bk. Zeynelabidin (r.a.)"
"Cafer-i Sadık","(699-766) Emevi saltanatının çöküşü ve Abbasi saltanatının başlaması döneminde yaşamıştır. Fıkıhta yüksek mertebeye ulaşmış ve çok sayıda talebe yetiştirmiştir; bk. Cafer-i Sadık"
"eimme-i âlişan","çok yüksek şan sahibi imamlar"
"verese-i Nebeviye","Peygamberlik vârisleri"
"mehdi-misal","mehdi gibi; bk. Mehdi"
"zevât-ı nuraniye","nurlu kimseler"
"din-i İslâm","İslâm dini"
"vazife-i risalet","peygamberlik vazifesi"
"kemâl-i şefkat","tam bir şefkat"
"zât-ı Ahmediye","Peygamber Efendimizin zâtı, kendisi"
"gayb-âşinâ","gaybi bilen, görünmeyenden haberi olan"
"Asr-ı Saadet","Peygamberimizin (a.s.m.) yaşadığı dönem, mutluluk asrı"
"ebed","sonu olmayan, sonsuz"
"meydan-ı haşr","haşir meydanı, öldükten sonra tekrar diriltildikten sonra insanların toplanacakları meydan"
"temâşâ","bakmak, seyretmek"
"zemin","yeryüzü"
"melâike","melekler"
"müşahede","gözlemleyen"
"zaman-ı Âdem","Hz. Âdem zamanı"
"mazi","geçmiş"
"zulümat","karanlıklar"
"hâdisât","hadiseler, olaylar"
"Zât-ı Zülcelâl","büyüklük ve haşmet sahibi olan Allah"
"rüyet","görme"
"mazhar","erişen, nail olan"
"nazar-ı nuranî","nurlu, aydınlık bakış"
"çeşm-i istikbal-bîni","geleceği gören gözü"
"Hazret-i Hasan","bk. Hasan (r.a.)"
"Hüseyin","bk. Hüseyin (r.a.)"
"teselsül","zincirleme devam eden, peşpeşe gelen"
"aktab","kutuplar, büyük velilerden zamanının en büyük mürşidi olan kimseler"
"eimme-i verese","peygamberlik varisi olan imamlar"
"mehdi","insanları hidayete sevk eden"
"umum","bütün, genel"
"Hazret-i Hasan","bk. Hasan (r.a.)"
"Şah-ı Geylânî","bk. Abdülkadir-i Geylânî (k.s.)"
"hisse-i azîme","büyük pay"
"NÜKTE","ince ve derin anlamlı söz"
"âyet","Kur'ân'ın her bir cümlesi"
"kavl","söz, rivayet"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Al","Peygamber Efendimizin sülalesi, mübarek soyu"
"vazife-i risalet","peygamberlik görevi"
"icra","yerine getirme"
"mukabil","karşılık"
"Âl-i Beyt","Hz. Peygamberin (a.s.m.) ev halkı"
"meveddet","sevgi"
"karâbet-i nesliye","soy yakınlığı"
"binaen","dayanarak"
"kurbiyet-i İlâhiye","Allah'a yakınlık"
"vazife-i risalet","peygamberlik görevi"
"cereyan","meydana gelmek"
"Resul-i Ekrem","Allah'ın en şerefli ve değerli elçisi olan Hz. Muhammed (a.s.m.)"
"Al","Peygamber Efendimizin sülalesi, mübarek soyu"
"gayb-âşinâ","gaybı bilen, görünmeyenlerden haberi olan"
"nazar","bakış"
"Âl-i Beyt","Hz. Peygamberin (a.s.m.) ev halkı"
"âlem-i İslâm","İslâm dünyası"
"şecere-i nuraniye","nurlu ağaç, nurlu soy"
"Âlem-i İslâm","İslâm dünyası"
"tabakat","tabakalar, dereceler"
"kemâlât-ı insaniye","insana ait mükemmellikler"
"mürşid","doğru yol gösteren"
"ekseriyet-i mutlaka","büyük çoğunluk"
"Âl-i Beyt","Hz. Peygamberin (a.s.m.) ev halkı"
"Teşehhüd","namazda her iki rekâtın sonunda oturulan bölüm"
"ümmet","Hz. Peygambere inanıp onun yolundan giden mü'minler"
"âl","Peygamber Efendimizin sülalesi, mübarek soyu"
"makbul","kabul edilen"
"millet-i İbrahimiye","İbrahim milleti; Hz. İbrahim'in dinini kabul edenler"
"ekseriyet-i mutlaka","büyük çoğunluk"
"nuranî","nurlu"
"Hazret-i İbrahim","bk. İbrahim (a.s.)"
"âl","Peygamber Efendimizin sülalesi, mübarek soyu"
"enbiya","nebiler, peygamberler"
"ümmet-i Muhammediye","Hz. Peygambere inanıp onun yolundan giden mü'minler"
"vezâif-i azîme-i İslâmiyet","İslâmın büyük görevi"
"ekser","çoğunluk"
"turuk","yollar"
"mesâlik","meslekler, tutulan yollar"
"enbiya-yı Benî İsrail","İsrailoğullarına gönderilen peygamberler"
"aktâb-ı Âl-i Beyt-i Muhammediye","Hz. Muhammed'in (a.s.m.) neslinden gelen ve bulunduğu yerde veya memleketteki evliyanın başı hükmünde olan büyük veliler"
"Âl-i Beyt","Hz. Peygamberin (a.s.m.) ev halkı; bk. Ehl-i Beyt"
"ümmet","Hz. Peygambere inanıp onun yolundan giden mü'minler"
"meveddet","sevgi"
